Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Open Date,Latitude,Longitude,lat,lon,year,month
"Moab, UT",16 South Main St,Moab,UT,84511,USA,4,120.0,"38.573122, -109.552368",1224,2014-01-22,38.573122,-109.552368,38.573122,-109.552368,2014,1
"Venice, FL",370 Commercial Ct,Venice,FL,34292,USA,8,250.0,"27.107859, -82.385275",4,2022-02-14,27.107859,-82.385275,27.107859,-82.385275,2022,2
"Walcott, IA",755 W Iowa 80 Rd,Walcott,IA,52773,USA,8,250.0,"41.619789, -90.782433",234,2022-03-18,41.619789,-90.782433,41.619789,-90.782433,2022,3
"Hamilton - Woodrow Wilson, NJ",Woodrow Wilson Service Area,Hamilton Township,NJ,8620,USA,8,250.0,"40.175932, -74.630183",29,2022-07-16,40.175932,-74.630183,40.175932,-74.630183,2022,7
"Bad Oeynhausen, Germany",Mindener Str. 22,Bad Oeynhausen,North Rhine-Westphalia,32547,Germany,12,250.0,"52.214135, 8.815111",50,2022-03-30,52.214135,8.815111,52.214135,8.815111,2022,3
"Takamatsu, Japan",2141-2 Fushiishi-cho,Takamatsu,Kagawa,,Japan,4,250.0,"34.309423, 134.061538",13,2022-07-06,34.309423,134.061538,34.309423,134.061538,2022,7
"Chipley, FL",1698 Main St,Chipley,FL,32428,USA,8,250.0,"30.751833, -85.551682",43,2023-04-19,30.751833,-85.551682,30.751833,-85.551682,2023,4
"Cottondale, AL",6400 Interstate Dr,Cottondale,AL,35453,USA,8,250.0,"33.175259, -87.449694",91,2022-02-18,33.175259,-87.449694,33.175259,-87.449694,2022,2
"Lexington - E Nelson St, VA",600 E Nelson Street,Lexington,VA,24450,USA,8,250.0,"37.778564, -79.434062",316,2023-03-27,37.778564,-79.434062,37.778564,-79.434062,2023,3
"Cluj Napoca, Romania",Strada Avram Iancu 500,Flore?ti,Nord-Vest,407280,Romania,8,250.0,"46.753784, 23.532768",362,2022-11-25,46.753784,23.532768,46.753784,23.532768,2022,11
"Sillekrog, Sweden","OKQ8, L鋝tringe Sillekrog",Tystberga,S鰀ermanland,611 74,Sweden,8,150.0,"58.918156, 17.367987",53,2014-12-03,58.918156,17.367987,58.918156,17.367987,2014,12
"Kearney, NE",815 2nd Ave E,Kearney,NE,68847,USA,8,250.0,"40.6822, -99.0834",654,2022-07-26,40.6822,-99.0834,40.6822,-99.0834,2022,7
"Lugano Sud, Switzerland","Calzedonia, Via Cantonale",Grancia,Ticino,6916,Switzerland,12,250.0,"45.974786, 8.92796",298,2022-07-23,45.974786,8.92796,45.974786,8.92796,2022,7
"Sarzana, Italy","Centro commerciale 揅entroLuna�, via Variante Cisa",Sarzana,Liguria,19038,Italy,12,250.0,"44.117291, 9.945708",17,2022-12-16,44.117291,9.945708,44.117291,9.945708,2022,12
"Ullevaal, Norway","Bergslia 75J, Ullevaal Stadion P-hus - Aimo Park",Oslo,Oslo,855,Norway,20,250.0,"59.950236915659765, 10.737472772598",101,2022-12-14,59.950236915659765,10.737472772598,59.950236915659765,10.737472772598,2022,12
"Ruston, LA",1401 Eagle Dr,Ruston,LA,71270,USA,8,250.0,"32.542727, -92.62574",87,2022-08-12,32.542727,-92.62574,32.542727,-92.62574,2022,8
"Chattanooga - Hamilton Place Blvd, TN",2100 Hamilton Pl Blvd 1,Chattanooga,TN,37421,USA,12,250.0,"35.036667, -85.16009",225,2022-09-02,35.036667,-85.16009,35.036667,-85.16009,2022,9
"Pasadena - 3363 E Foothill Blvd, CA",3363 East Foothill Blvd,Pasadena,CA,91107,USA,20,250.0,"34.153571, -118.081718",224,2022-10-05,34.153571,-118.081718,34.153571,-118.081718,2022,10
"Shanghai - Baoshan Xuhui Science and Technology Base, China","B1, CIFI Science and Technology Base, No. 268, Yuanqing Road, Baoshan District, Shanghai",Shanghai,Shanghai,,China,3,250.0,"31.313274, 121.34822",5,2022-10-24,31.313274,121.34822,31.313274,121.34822,2022,10
"Al Ain - Hazza Bin Zayed Stadium, UAE",Al Za抏em Street,Al Ain,,,United Arab Emirates,3,250.0,"24.247033, 55.715946",264,2021-06-01,24.247033,55.715946,24.247033,55.715946,2021,6
"Chungju, South Korea","26, Enterprise City-ro, Chungju-si, Chungcheongbuk-do",Chungju,Chungcheongbuk,27465,South Korea,8,250.0,"37.0016, 127.83573",0,2021-04-19,37.0016,127.83573,37.0016,127.83573,2021,4
"Aiea, HI",98-1005 Moanalua Rd,Aiea,HI,96701,USA,6,250.0,"21.385583, -157.941632",19,2021-12-23,21.385583,-157.941632,21.385583,-157.941632,2021,12
"Covington, LA",69320 LA-21,Covington,LA,70433,USA,12,250.0,"30.443505, -90.141137",6,2022-10-27,30.443505,-90.141137,30.443505,-90.141137,2022,10
"Morgantown, WV",21 Asturias Lane,Morgantown,WV,26508,USA,8,150.0,"39.579175, -79.953493",401,2017-09-10,39.579175,-79.953493,39.579175,-79.953493,2017,9
"Temple Mall North, Hong Kong","136 Lung Cheung Road, Wong Tai Sin, Kowloon",Hong Kong,Hong Kong,,China,4,150.0,"22.34218, 114.190763",20,2021-04-14,22.34218,114.190763,22.34218,114.190763,2021,4
"Lok Fu Market, Hong Kong","198 Junction Road, Wang Tau Hom, Lok Fu, Kowloon",Hong Kong,Hong Kong,,China,4,150.0,"22.33931, 114.1871",28,2021-04-15,22.33931,114.1871,22.33931,114.1871,2021,4
"Red Hook, NY",35 Hannaford Dr,Red Hook,NY,12571,USA,8,250.0,"41.979518, -73.88216",71,2022-04-07,41.979518,-73.88216,41.979518,-73.88216,2022,4
"Pacific Palisades, CA",1038 N Swarthmore Ave,Pacific Palisades,CA,90272,USA,8,250.0,"34.047878, -118.524987",100,2022-04-02,34.047878,-118.524987,34.047878,-118.524987,2022,4
"Fort Mill, SC",3725 Avenue of the Carolinas,Fort Mill,SC,29708,USA,12,250.0,"35.0964, -80.9359",191,2022-05-20,35.0964,-80.9359,35.0964,-80.9359,2022,5
"Westminster, CO",7450 Federal Blvd,Westminster,CO,80030,USA,8,250.0,"39.832103, -105.023901",1629,2022-07-26,39.832103,-105.023901,39.832103,-105.023901,2022,7
"Williams, WA, Australia",101 Albany Hwy,Williams,WA,6391,Australia,3,250.0,"-33.024674, 116.878787",266,2021-08-19,-33.024674,116.878787,-33.024674,116.878787,2021,8
"Geelong, VIC",470-510 Princes Hwy,Corio,Vic,3214,Australia,6,250.0,"-38.065087, 144.382448",14,2021-05-29,-38.065087,144.382448,-38.065087,144.382448,2021,5
"San Gabriel, CA",140 W Valley Blvd,San Gabriel,CA,91776,USA,20,250.0,"34.077694, -118.100109",102,2021-08-05,34.077694,-118.100109,34.077694,-118.100109,2021,8
"Kl鴉ta, Norway","By Burger King Kl鴉ta, Prestmoen 27",Kl鴉ta,Viken,2040,Norway,20,250.0,"60.079501, 11.149765",164,2021-09-17,60.079501,11.149765,60.079501,11.149765,2021,9
"Lodi, NJ",150 Essex St,Lodi,NJ,7644,USA,8,250.0,"40.89146, -74.07267",13,2021-09-04,40.89146,-74.07267,40.89146,-74.07267,2021,9
"San Marcos, CA",573 Grand Ave,San Marcos,CA,92078,USA,20,250.0,"33.13658, -117.176119",170,2021-08-18,33.13658,-117.176119,33.13658,-117.176119,2021,8
"Wien - Gewerbepark Stadlau, Austria",Gewerbeparkstra遝 4-6,Vienna,Vienna,1220,Austria,16,250.0,"48.247224, 16.464421",160,2021-07-09,48.247224,16.464421,48.247224,16.464421,2021,7
"Speedway, IN",6311 Crawfordsville Rd,Indianapolis,IN,46224,USA,8,250.0,"39.80066, -86.270482",226,2021-05-28,39.80066,-86.270482,39.80066,-86.270482,2021,5
"Middletown, DE",5018 Summit Bridge Rd,Middletown,DE,19709,USA,8,250.0,"39.47951, -75.722099",20,2021-04-22,39.47951,-75.722099,39.47951,-75.722099,2021,4
"Dwight, IL",100 Watters Dr,Dwight,IL,60420,USA,8,250.0,"41.093395, -88.442109",193,2021-10-03,41.093395,-88.442109,41.093395,-88.442109,2021,10
"Jincheon, South Korea","02-1 Naechon-ri, Iwol-myeon, Jincheon-gun, Chungcheongbuk-do",Jincheon,Chungcheongbuk,,South Korea,8,250.0,"36.9422, 127.43131",89,2021-04-30,36.9422,127.43131,36.9422,127.43131,2021,4
"Zapopan, Mexico",Blvrd Puerta de Hierro 4965,Zapopan,Jalisco,45116,Mexico,8,250.0,"20.710169, -103.412631",1576,2021-04-22,20.710169,-103.412631,20.710169,-103.412631,2021,4
"Cranford, NJ",370 N Ave E,Cranford,NJ,7016,USA,12,250.0,"40.658207, -74.287872",24,2022-06-22,40.658207,-74.287872,40.658207,-74.287872,2022,6
"Charlton - Eastbound, MA",6 Massachusetts Turnpike,Charlton,MA,1507,USA,8,250.0,"42.139201, -72.025772",234,2021-06-15,42.139201,-72.025772,42.139201,-72.025772,2021,6
"Diamond Bar, CA",2785 S Diamond Bar Blvd,Diamond Bar,CA,91765,USA,24,250.0,"33.97577, -117.838484",219,2021-12-04,33.97577,-117.838484,33.97577,-117.838484,2021,12
"Xi'an - Daming Palace Building Materials & Home Furnishing Diamond Store, China","B2, Daming Palace Home Furnishing Diamond Store, Xuanwu Road, Weiyang District, Xi'an City, Shaanxi",Xi'an,Shaanxi,,China,3,250.0,"34.313745, 108.979172",400,2022-10-24,34.313745,108.979172,34.313745,108.979172,2022,10
"Columbia - W Broadway, MO",3100 W Broadway,Columbia,MO,65203,USA,12,250.0,"38.954387, -92.383074",223,2021-12-23,38.954387,-92.383074,38.954387,-92.383074,2021,12
"Auburn, CA",13431 Bowman Rd,Auburn,CA,95603,USA,12,250.0,"38.926253, -121.058008",482,2022-02-03,38.926253,-121.058008,38.926253,-121.058008,2022,2
"Nanchong - Binjiang Xintiandi, China","B2, Binjiang Xintiandi, No. 18 Langshui East Road, Langzhong City, Nanchong City, Sichuan",Nanchong,Sichuan,,China,3,250.0,"31.590864, 105.996301",376,2022-10-24,31.590864,105.996301,31.590864,105.996301,2022,10
"Doral, FL",3300 NW 87th Ave,Doral,FL,33172,USA,8,250.0,"25.80622, -80.337826",1,2021-12-27,25.80622,-80.337826,25.80622,-80.337826,2021,12
"Tampa - N Dale Mabry Hwy, FL",401 N Dale Mabry Hwy,Tampa,FL,33609,USA,8,250.0,"27.949242, -82.504944",7,2022-03-31,27.949242,-82.504944,27.949242,-82.504944,2022,3
"Hwaseong, South Korea","806 Seohae-ro, Hyangnam-eup, Hwaseong-si, Gyeonggi-do",Hwaseong,Gyeonggi,,South Korea,6,250.0,"37.13485, 126.895718",40,2021-04-30,37.13485,126.895718,37.13485,126.895718,2021,4
"San Bruno - El Camino Real, CA",1150 El Camino Real,San Bruno,CA,94066,USA,28,250.0,"37.636105, -122.420515",18,2022-01-29,37.636105,-122.420515,37.636105,-122.420515,2022,1
"Malta, NY",2951 State Hwy 9,Ballston Spa,NY,12020,USA,8,250.0,"43.0262, -73.792",79,2021-11-21,43.0262,-73.792,43.0262,-73.792,2021,11
"Kirke S錬y, Denmark",Landevejen 51,Kirke S錬y,Sj鎙land,4060,Denmark,16,250.0,"55.640024, 11.830728",54,2021-07-01,55.640024,11.830728,55.640024,11.830728,2021,7
"Alturas, CA",1200 W 12th St,Alturas,CA,96101,USA,8,250.0,"41.495424, -120.55978",1335,2021-05-22,41.495424,-120.55978,41.495424,-120.55978,2021,5
"Rolling Prairie - S Knute Rockne Plaza, IN",3 S Knute Rockne Plaza,Rolling Prairie,IN,46371,USA,8,250.0,"41.705116, -86.621519",256,2021-05-26,41.705116,-86.621519,41.705116,-86.621519,2021,5
"Rolling Prairie - Wilbur Shaw Travel Plaza, IN",7 N Wilbur Shaw Plaza,Rolling Prairie,IN,46371,USA,8,250.0,"41.707691, -86.623162",256,2021-05-26,41.707691,-86.623162,41.707691,-86.623162,2021,5
"Haifa, Israel",Flieman St 4,Haifa,,35084,Israel,6,250.0,"32.78946, 34.96464",26,2021-06-02,32.78946,34.96464,32.78946,34.96464,2021,6
"Liberty, MO",109 Blue Jay Dr,Liberty,MO,64068,USA,8,250.0,"39.245809, -94.448108",263,2021-10-19,39.245809,-94.448108,39.245809,-94.448108,2021,10
"Catania, Italy",1 Via Salvatore Quasimodo,Catania,Sicily,95030,Italy,4,250.0,"37.551544, 15.066791",282,2021-06-25,37.551544,15.066791,37.551544,15.066791,2021,6
"West Palm Beach - Palm Beach Outlets, FL",1801 Palm Beach Lakes Blvd,West Palm Beach,FL,33401,USA,8,250.0,"26.72622, -80.0875",5,2021-07-21,26.72622,-80.0875,26.72622,-80.0875,2021,7
"Benton Harbor, MI",1920 Pipestone Rd,Benton Harbor,MI,49022,USA,12,250.0,"42.082115, -86.423841",195,2021-07-31,42.082115,-86.423841,42.082115,-86.423841,2021,7
"New Paltz, NY",271 Main St,New Paltz,NY,12561,USA,8,250.0,"41.743731, -74.070122",113,2021-09-25,41.743731,-74.070122,41.743731,-74.070122,2021,9
"Invermere - Hwy 95, BC",548 BC-93 #95,Invermere,BC,V0A 1K2,Canada,8,250.0,"50.512803, -115.996366",870,2021-09-23,50.512803,-115.996366,50.512803,-115.996366,2021,9
"Sonoma, CA",276 E Napa St,Sonoma,CA,95476,USA,8,250.0,"38.29179, -122.452126",29,2021-10-16,38.29179,-122.452126,38.29179,-122.452126,2021,10
"Houston - Hempstead Rd (SC), TX",19820 Hempstead Road,Houston,TX,77065,USA,16,250.0,"29.912978, -95.615944",39,2022-06-29,29.912978,-95.615944,29.912978,-95.615944,2022,6
"Topeka - Topeka Service Area, KS",8000 I-70,Topeka,KS,66608,USA,8,250.0,"39.0195, -95.508",344,2022-09-02,39.0195,-95.508,39.0195,-95.508,2022,9
"Dubai - Mall of The Emirates, UAE",Sheikh Zayed Rd - Al Barsha 1,Dubai,,,United Arab Emirates,8,250.0,"25.117407, 55.201595",0,2022-01-18,25.117407,55.201595,25.117407,55.201595,2022,1
"Lawrence - Lawrence Service Plaza, KS",209 Kansas Turnpike,Lawrence,KS,66044,USA,12,250.0,"39.0205, -95.1348",281,2022-07-14,39.0205,-95.1348,39.0205,-95.1348,2022,7
"Howe - Gene Stratton Travel Plaza, IN",Gene Stratton Porter Travel Plaza Eastbound,Howe,IN,46746,USA,8,250.0,"41.744917, -85.330167",280,2021-05-28,41.744917,-85.330167,41.744917,-85.330167,2021,5
"Howe - Ernie Pyle Travel Plaza, IN",Ernie Pyle Travel Plaza Westbound,Howe,IN,46746,USA,8,250.0,"41.747139, -85.32775",279,2021-05-28,41.747139,-85.32775,41.747139,-85.32775,2021,5
"Durham, NC",Sayward Drive,Durham,NC,27707,USA,12,250.0,"35.953056, -78.991056",101,2021-06-15,35.953056,-78.991056,35.953056,-78.991056,2021,6
"Commerce, CA",100 Citadel Dr,Commerce,CA,90040,USA,20,250.0,"34.006382, -118.148878",48,2021-07-13,34.006382,-118.148878,34.006382,-118.148878,2021,7
"Jacksonville, NC",1105 Gum Branch Rd,Jacksonville,NC,28540,USA,8,250.0,"34.776774, -77.414566",10,2022-07-27,34.776774,-77.414566,34.776774,-77.414566,2022,7
"Kobe - Mikage, Japan","3-2-1 Mikage Nakamachi, Higashinada Ward",Kobe,Hyogo,,Japan,4,250.0,"34.715574, 135.255163",16,2021-12-31,34.715574,135.255163,34.715574,135.255163,2021,12
"Gananoque, ON",705 King St E,Gananoque,ON,K7G 1H4,Canada,8,250.0,"44.3371, -76.1502",89,2022-12-22,44.3371,-76.1502,44.3371,-76.1502,2022,12
"Causeway Point, Singapore",1 Woodlands Square,Singapore,,738099,Singapore,3,250.0,"1.43605, 103.78597",23,2022-06-04,1.43605,103.78597,1.43605,103.78597,2022,6
"Orland Park, IL",14225 95th Ave,Orland Park,IL,60492,USA,12,250.0,"41.632333, -87.850228",215,2022-12-22,41.632333,-87.850228,41.632333,-87.850228,2022,12
"La Puebla de Valverde, Spain","km 92, La Puebla de Valverde",Teruel,Aragon,44450,Spain,12,250.0,"40.2176138, -0.93962088",1155,2023-03-08,40.2176138,-0.93962088,40.2176138,-0.93962088,2023,3
"Crossville - Genesis Rd, TN",2045 Genesis Rd,Crossville,TN,38555,USA,16,250.0,"35.979515, -85.015308",546,2023-02-04,35.979515,-85.015308,35.979515,-85.015308,2023,2
"Panda Place, Hong Kong",Panda Place 3 Tsuen Wah St,Tsuen Wan,Hong Kong,,China,4,120.0,"22.368929, 114.120542",43,2015-05-25,22.368929,114.120542,22.368929,114.120542,2015,5
"Tsukuba, Japan",4372 Shimana,Tsukuba,Ibaraki,,Japan,4,250.0,"36.058524, 140.061221",15,2021-12-10,36.058524,140.061221,36.058524,140.061221,2021,12
"Madisonville, TX",205 IH 45,Madisonville,TX,77864,USA,24,250.0,"30.966229, -95.880841",95,2022-06-28,30.966229,-95.880841,30.966229,-95.880841,2022,6
"Lycksele, Sweden",Storgatan 40,Lycksele,Lappland,921 31,Sweden,8,250.0,"64.59625, 18.674806",232,2022-09-22,64.59625,18.674806,64.59625,18.674806,2022,9
"Kanazawa, Japan",Kanazawa Beans Meibundo 5-158 Kuratsuki,Kanazawa,Ishikawa,,Japan,4,250.0,"36.599028, 136.624141",3,2021-12-24,36.599028,136.624141,36.599028,136.624141,2021,12
"Chevy Chase, MD",8525 Chevy Chase Lake Terrace,Chevy Chase,MD,20815,USA,12,250.0,"38.996112, -77.075633",79,2022-07-05,38.996112,-77.075633,38.996112,-77.075633,2022,7
"El Dorado - Towanda Service Plaza, KS",Mile 65 Kansas Turnpike,Towanda,KS,67144,USA,8,250.0,"37.765506, -96.982618",412,2022-09-02,37.765506,-96.982618,37.765506,-96.982618,2022,9
"North Branch, MN",5842 Main St,North Branch,MN,55056,USA,8,250.0,"45.510887, -92.990596",272,2022-10-05,45.510887,-92.990596,45.510887,-92.990596,2022,10
"Tuggeranong, ACT",Anketell St & Reed St N,Greenway,ACT,2900,Australia,6,250.0,"-35.416694, 149.066317",575,2022-09-23,-35.416694,149.066317,-35.416694,149.066317,2022,9
"Ningbo - Window of Asia, China","B1, No. 999, East Section of Yinxian Avenue, Yinzhou District, Ningbo City, Zhejiang",Ningbo,Zhejiang,,China,3,250.0,"29.81866219, 121.5575947",1,2023-05-04,29.81866219,121.5575947,29.81866219,121.5575947,2023,5
"Carsoli Oricola, Italy","Via Tiburtina, Km 68,500",Oricola,Abruzzo,67063,Italy,8,150.0,"42.082194, 13.060417",594,2021-05-10,42.082194,13.060417,42.082194,13.060417,2021,5
"Salt Lake City - S State St, UT",2312 S State St,South Salt Lake City,UT,84115,USA,10,150.0,"40.720353, -111.888706",1297,2015-03-06,40.720353,-111.888706,40.720353,-111.888706,2015,3
"Hope - Klassen Rd, BC",19700 Klassen Rd,Hope,BC,V0X1L2,Canada,24,250.0,"49.363473, -121.478714",41,2021-07-02,49.363473,-121.478714,49.363473,-121.478714,2021,7
"Montpellier, France",2 place de Lisbonne,Montpellier,Occitanie,34000,France,16,250.0,"43.6024666, 3.9204733",25,2022-06-30,43.6024666,3.9204733,43.6024666,3.9204733,2022,6
"Benson, NC",100 Water Pl Landing,Benson,NC,27504,USA,8,250.0,"35.374508, -78.541871",73,2022-05-07,35.374508,-78.541871,35.374508,-78.541871,2022,5
"Anseong, South Korea","Anseong Livestock Agricultural Cooperative Federation 833, Anseong Maum-daero",Anseong,Gyeonggi,,South Korea,6,250.0,"36.988973, 127.265732",41,2022-07-02,36.988973,127.265732,36.988973,127.265732,2022,7
"Salt Lake City (SC), UT",1038 S 300 W,Salt Lake City,UT,84101,USA,4,72.0,"40.746393, -111.900534",1290,2020-11-25,40.746393,-111.900534,40.746393,-111.900534,2020,11
"Hangzhou - Putafudi Commercial Center, China","B1, Pudafudi Commercial Center, Hongpu Road, Jiubao Street, Shangcheng District, Hangzhou, Zhejiang",Hangzhou,Zhejiang,,China,6,250.0,"30.31183515, 120.2488171",7,2023-05-04,30.31183515,120.2488171,30.31183515,120.2488171,2023,5
"Syosset - Jericho Tpke, NY",267 Jericho Tpke,Syosset,NY,11791,USA,8,250.0,"40.8109, -73.5054",65,2022-09-11,40.8109,-73.5054,40.8109,-73.5054,2022,9
"San Diego - Truxtun Rd, CA",Truxtun Rd,San Diego,CA,92106,USA,12,250.0,"32.737743, -117.217061",6,2022-05-06,32.737743,-117.217061,32.737743,-117.217061,2022,5
"Amarillo - E Interstate 40, TX",8507 I-40,Amarillo,TX,79118,USA,12,250.0,"35.194253, -101.743828",1090,2022-06-24,35.194253,-101.743828,35.194253,-101.743828,2022,6
"Hangzhou - Zhijiang SSAW Impression, China","B1, Zhijiang Impression, No. 158 Lingmei Road, Xihu District, Hangzhou City, Zhejiang",Hangzhou,Zhejiang,,China,6,250.0,"30.14462735, 120.0790075",40,2023-05-04,30.14462735,120.0790075,30.14462735,120.0790075,2023,5
"Harrisburg, OR","32900 Diamond Hill Rd,",Harrisburg,OR,97446,USA,8,250.0,"44.27972, -123.063083",99,2022-05-27,44.27972,-123.063083,44.27972,-123.063083,2022,5
"Robertsdale, AL",20403 Co Rd 68,Robertsdale,AL,36567,USA,16,250.0,"30.633696, -87.677561",53,2022-04-23,30.633696,-87.677561,30.633696,-87.677561,2022,4
"Mill Hall, PA",5477 Nittany Valley Dr,Mill Hall,PA,17751,USA,12,250.0,"41.0251, -77.5243",262,2022-07-16,41.0251,-77.5243,41.0251,-77.5243,2022,7
"Osaka - Omigachi, Japan","2 Suehiro-cho, Kita-ku",Osaka,Osaka,,Japan,6,250.0,"34.70162, 135.51026",5,2022-06-24,34.70162,135.51026,34.70162,135.51026,2022,6
"Kawasaki, Japan","Lazona Kawasaki 72-1 Horikawa-cho, Ko-ku",Kawasaki,Kanagawa,,Japan,3,250.0,"35.534495, 139.69461",6,2022-06-24,35.534495,139.69461,35.534495,139.69461,2022,6
"Soledad - H Dela Rosa St, CA",3070 H Dela Rosa Sr St,Soledad,CA,93960,USA,7,250.0,"36.4162019, -121.320846",61,2022-06-26,36.4162019,-121.320846,36.4162019,-121.320846,2022,6
"Harlingen, TX",6710 W Expy 83,Harlingen,TX,78552,USA,12,250.0,"26.1877, -97.7563",14,2022-08-12,26.1877,-97.7563,26.1877,-97.7563,2022,8
"Gyeongju, South Korea","Lahan Select Gyeongju 338, Bomun-ro",Gyeongju,Gyeongsangbuk,,South Korea,6,250.0,"35.850434, 129.277112",107,2022-07-02,35.850434,129.277112,35.850434,129.277112,2022,7
"Fukui, Japan",1-303 Shinbokita,Fukui,Fukui,,Japan,4,250.0,"36.086031, 136.250467",11,2022-02-12,36.086031,136.250467,36.086031,136.250467,2022,2
"Marinette, WI",2301 Roosevelt Rd,Marinette,WI,54143,USA,8,250.0,"45.0801, -87.6621",186,2022-07-30,45.0801,-87.6621,45.0801,-87.6621,2022,7
"Dubai - Za'abeel, UAE",Dubai Urban 2 Za'abeel,Dubai,,,United Arab Emirates,8,250.0,"25.199909, 55.281854",1,2021-08-15,25.199909,55.281854,25.199909,55.281854,2021,8
"Saint-Liboire, QC",1144 Rang Saint-蒬ouard,Saint-Liboire,QC,J0H 1R0,Canada,12,250.0,"45.688194, -72.805859",71,2022-02-03,45.688194,-72.805859,45.688194,-72.805859,2022,2
"Parly 2, France",Le Chesnay,Le Chesnay-Rocquencourt,蝜e-de-France,78150,France,12,250.0,"48.8270072, 2.1189786",133,2021-11-09,48.8270072,2.1189786,48.8270072,2.1189786,2021,11
"Pigeon Forge, TN",2655 Teaster Ln,Pigeon Forge,TN,37863,USA,12,250.0,"35.806348, -83.572721",307,2021-06-28,35.806348,-83.572721,35.806348,-83.572721,2021,6
"Asheville, NC",800 Brevard Rd,Asheville,NC,28806,USA,12,250.0,"35.531391, -82.604487",662,2015-12-16,35.531391,-82.604487,35.531391,-82.604487,2015,12
"Fair Play, SC",272 Herring Rd,Fair Play,SC,29643,USA,12,250.0,"34.504955, -82.965706",237,2021-07-02,34.504955,-82.965706,34.504955,-82.965706,2021,7
"Turlock, CA",1684 Countryside Dr,Turlock,CA,95380,USA,16,250.0,"37.508786, -120.876109",31,2022-08-23,37.508786,-120.876109,37.508786,-120.876109,2022,8
"Twinsburg, OH",2495 E Aurora Rd,Twinsburg,OH,44087,USA,7,250.0,"41.311733, -81.449531",314,2022-02-07,41.311733,-81.449531,41.311733,-81.449531,2022,2
"Houston - W Alabama St, TX",1701 W Alabama St,Houston,TX,77098,USA,8,250.0,"29.736538, -95.402318",15,2022-05-09,29.736538,-95.402318,29.736538,-95.402318,2022,5
"Abingdon - Woodsdale Rd, MD",3500 Woodsdale Rd,Abingdon,MD,21009,USA,8,250.0,"39.46561, -76.311042",50,2021-11-13,39.46561,-76.311042,39.46561,-76.311042,2021,11
"Oristano, Italy",Centro Commerciale Via Dublino,Oristano,Sardinia,9170,Italy,4,150.0,"39.8901246, 8.5997914",8,2021-06-25,39.8901246,8.5997914,39.8901246,8.5997914,2021,6
"Blois, France",Rue des 11 Arpents,Blois,Centre-Val de Loire,41000,France,16,250.0,"47.61154, 1.339214",109,2021-06-25,47.61154,1.339214,47.61154,1.339214,2021,6
"Temecula - Temecula Pkwy, CA",30515 Temecula Pkwy,Temecula,CA,92592,USA,8,250.0,"33.475122, -117.129563",308,2021-07-09,33.475122,-117.129563,33.475122,-117.129563,2021,7
"City of Industry - Gale Ave, CA",18558 Gale Ave,City of Industry,CA,91748,USA,20,250.0,"33.994605, -117.899677",135,2021-07-03,33.994605,-117.899677,33.994605,-117.899677,2021,7
"Concordia, MO",101 N Main St,Concordia,MO,64020,USA,8,250.0,"38.989771, -93.566975",232,2021-06-11,38.989771,-93.566975,38.989771,-93.566975,2021,6
"Kyle, TX",151 Evans Drive,Kyle,TX,78640,USA,16,250.0,"30.013004, -97.862665",222,2021-08-08,30.013004,-97.862665,30.013004,-97.862665,2021,8
"Susanville, CA",900 Skyline Rd,Susanville,CA,96130,USA,8,250.0,"40.430902, -120.657897",1306,2021-09-29,40.430902,-120.657897,40.430902,-120.657897,2021,9
"Brentwood, MO",1 Brentwood Promenade Ct,Brentwood,MO,63144,USA,12,250.0,"38.626722, -90.344139",143,2021-09-30,38.626722,-90.344139,38.626722,-90.344139,2021,9
"Williams Lake, BC",1185 Prosperity Way,Williams Lake,BC,V2G 0A6,Canada,8,250.0,"52.112903, -122.125409",611,2021-10-21,52.112903,-122.125409,52.112903,-122.125409,2021,10
"San Leandro, CA",1201 Marina Blvd,San Leandro,CA,94577,USA,12,250.0,"37.709813, -122.164607",10,2022-09-16,37.709813,-122.164607,37.709813,-122.164607,2022,9
"Alcobendas, Spain","Moraleja Green, Av. de Europa, 13,",Alcobendas,Madrid,28108,Spain,12,250.0,"40.519872, -3.657064",692,2021-12-03,40.519872,-3.657064,40.519872,-3.657064,2021,12
"Devonport, TAS",11A Esplanade,East Devonport,Tas,7310,Australia,3,250.0,"-41.18, 146.367384",7,2021-05-24,-41.18,146.367384,-41.18,146.367384,2021,5
"Austin - Frontage Rd, TX",9500 S IH Frontage Rd,Austin,TX,78748,USA,12,250.0,"30.16287, -97.792063",194,2021-12-10,30.16287,-97.792063,30.16287,-97.792063,2021,12
"Craig, CO",700 E Victory Way,Craig,CO,81625,USA,8,250.0,"40.513995, -107.538785",1886,2021-02-12,40.513995,-107.538785,40.513995,-107.538785,2021,2
"Chowchilla, CA",1225 East Robertson Blvd,Chowchilla,CA,93610,USA,12,250.0,"37.126287, -120.247428",75,2023-04-27,37.126287,-120.247428,37.126287,-120.247428,2023,4
"Kettleman City - Bernard Dr, CA",Bernard Dr,Kettleman City,CA,93239,USA,55,250.0,"35.9861622, -119.957565",104,2021-11-21,35.9861622,-119.957565,35.9861622,-119.957565,2021,11
"Plze?, Czech Republic",Univerzitn� 65,Plze?,Plze?,30 100,Czech Republic,6,150.0,"49.72515, 13.326257",359,2021-05-27,49.72515,13.326257,49.72515,13.326257,2021,5
